route	step	geom
0	10	LINESTRING (139.77082000000001 35.65932, 139.77086 35.659310000000005, 139.77087 35.6593, 139.77089 35.659290000000006, 139.77093000000002 35.65926, 139.77099 35.65921, 139.77114 35.65908, 139.77115 35.65907, 139.77117 35.65905, 139.77118000000002 35.659040000000005, 139.77129000000002 35.65894, 139.77130000000002 35.65894, 139.77132 35.65892, 139.77145000000002 35.65878, 139.77151 35.658730000000006, 139.77169 35.65854, 139.77176 35.65847, 139.77182000000002 35.65842, 139.77187 35.65838, 139.77191000000002 35.65833, 139.77195 35.658300000000004, 139.77198 35.65827, 139.77199000000002 35.658260000000006, 139.77201000000002 35.65825, 139.77216 35.65811, 139.77238 35.65786, 139.77245000000002 35.6578, 139.7725 35.65775, 139.77259 35.65766, 139.77265 35.657610000000005, 139.77275 35.657520000000005, 139.77281000000002 35.65747, 139.77282000000002 35.65746, 139.77284 35.65744, 139.77288000000001 35.65739, 139.77292 35.657360000000004, 139.77302 35.65729, 139.77334000000002 35.657000000000004, 139.77353000000002 35.656800000000004, 139.77367 35.656650000000006)
0	11	LINESTRING (139.77367 35.656650000000006, 139.77375 35.65657, 139.77362000000002 35.656490000000005, 139.77356 35.65645, 139.77347 35.65652, 139.77328 35.65672, 139.7732 35.656800000000004, 139.77305 35.656940000000006, 139.77292 35.65706)
0	12	LINESTRING (139.77292 35.65706, 139.77288000000001 35.65708, 139.77285 35.657090000000004, 139.77283 35.6571, 139.77281000000002 35.657120000000006, 139.77278 35.657140000000005, 139.77273000000002 35.657230000000006, 139.77272000000002 35.657250000000005, 139.77266 35.657300000000006, 139.77265 35.657320000000006, 139.77262000000002 35.657340000000005, 139.77261000000001 35.65735, 139.77259 35.65737, 139.77257 35.65738, 139.77256 35.65738, 139.77252000000001 35.65739, 139.77236000000002 35.657560000000004, 139.77231 35.6576, 139.77223 35.657680000000006, 139.77201000000002 35.65786, 139.77195 35.657920000000004, 139.77174000000002 35.658120000000004, 139.77152 35.65832)
0	13	LINESTRING (139.77152 35.65832, 139.77148000000003 35.65829, 139.77145000000002 35.65827, 139.77073000000001 35.657790000000006)
1	0	LINESTRING (139.7613 35.68638, 139.76132 35.68643, 139.76136000000002 35.68659, 139.76142000000002 35.68679, 139.76142000000002 35.686800000000005, 139.76142000000002 35.686820000000004, 139.76143000000002 35.686840000000004, 139.76144000000002 35.686910000000005, 139.76153000000002 35.687250000000006)
1	1	LINESTRING (139.76153000000002 35.687250000000006, 139.76171000000002 35.68722, 139.76191 35.687200000000004, 139.76207000000002 35.687180000000005, 139.76216000000002 35.687160000000006, 139.76229 35.68715, 139.76244 35.68712, 139.76309 35.687020000000004, 139.76326 35.68699, 139.76352 35.68695, 139.76358000000002 35.68694)
1	2	LINESTRING (139.76358000000002 35.68694, 139.76372 35.686910000000005, 139.76368000000002 35.68672, 139.76364 35.68657, 139.76363 35.686510000000006, 139.76360000000003 35.686420000000005, 139.76355 35.68627, 139.76354 35.686260000000004, 139.76350000000002 35.68616, 139.76350000000002 35.686150000000005, 139.76347 35.68609, 139.76337 35.68583, 139.76327 35.685500000000005, 139.76323000000002 35.685340000000004, 139.7632 35.685230000000004, 139.76316 35.685100000000006, 139.76311 35.684920000000005, 139.76308 35.684810000000006, 139.76307 35.68478, 139.76302 35.684580000000004, 139.76296000000002 35.68437, 139.76286000000002 35.684020000000004, 139.76272 35.68352, 139.76268000000002 35.68339, 139.76262 35.68321, 139.76255 35.68298, 139.76249 35.682770000000005, 139.76242000000002 35.682570000000005, 139.76241000000002 35.68253, 139.76237 35.6824, 139.76231 35.6822, 139.7623 35.6822, 139.76225000000002 35.68202, 139.76224000000002 35.681990000000006, 139.76219 35.68187, 139.76207000000002 35.68148, 139.76204 35.68142, 139.76204 35.681400000000004, 139.76187000000002 35.68088, 139.76181000000003 35.680710000000005, 139.76175 35.680530000000005, 139.76169000000002 35.68036, 139.76163000000003 35.68019, 139.76160000000002 35.68009, 139.76152000000002 35.679840000000006, 139.76151000000002 35.67983, 139.76146 35.679680000000005, 139.7614 35.67949, 139.76125000000002 35.67906, 139.76124000000002 35.679030000000004, 139.76112 35.67869, 139.76108000000002 35.67857)
1	3	LINESTRING (139.76108000000002 35.67857, 139.76123 35.678540000000005, 139.76146 35.678490000000004, 139.76166 35.678450000000005, 139.76191 35.67839, 139.76228 35.67831, 139.76238 35.67828, 139.76256 35.67824, 139.76277000000002 35.678200000000004, 139.76295000000002 35.678160000000005, 139.7632 35.6781, 139.76331000000002 35.67808, 139.76346 35.67804, 139.76360000000003 35.67801, 139.76376000000002 35.677980000000005, 139.7638 35.67797, 139.76382 35.677960000000006, 139.76423 35.67788, 139.76444 35.67783, 139.76454 35.67781, 139.76465000000002 35.677780000000006, 139.76486 35.67774, 139.76489 35.67774, 139.7649 35.677730000000004, 139.76510000000002 35.677690000000005, 139.76520000000002 35.67766, 139.76541 35.67761, 139.76556000000002 35.677580000000006, 139.76585 35.677530000000004, 139.76597 35.677510000000005, 139.76610000000002 35.6775, 139.76621 35.67747, 139.76631 35.67745, 139.76653000000002 35.677400000000006, 139.76674 35.67736, 139.76679000000001 35.677350000000004, 139.76697000000001 35.67732)
1	4	LINESTRING (139.76697000000001 35.67732, 139.7671 35.67747, 139.76711 35.677490000000006, 139.76723 35.67766, 139.7673 35.677780000000006, 139.76737 35.67788, 139.76747 35.67804, 139.76749 35.67808, 139.76751000000002 35.67812, 139.76761000000002 35.678250000000006, 139.76775 35.678490000000004, 139.76778000000002 35.67853, 139.76784 35.67862, 139.76785 35.67864, 139.76786 35.67866, 139.76791 35.67873, 139.76801 35.678900000000006, 139.76832000000002 35.679370000000006, 139.76850000000002 35.67963, 139.76851000000002 35.67965)
1	5	LINESTRING (139.76851000000002 35.67965, 139.76848 35.67972, 139.76848 35.679730000000006, 139.76848 35.67974, 139.76848 35.679750000000006, 139.76848 35.67976, 139.76849 35.679770000000005, 139.76851000000002 35.67982, 139.76855 35.67991, 139.76856 35.67994, 139.76866 35.68032, 139.76865 35.68034, 139.76864 35.680350000000004, 139.76863 35.68036, 139.76862 35.68037, 139.76861000000002 35.68037, 139.76860000000002 35.68037, 139.76859000000002 35.68038, 139.76858000000001 35.68038, 139.76857 35.68037, 139.76856 35.68037, 139.76856 35.68036)
